#Wavelength[Angstrom]  Flux[Flux per Angstrom]
3994.54         705.9077
3995.54         701.6692
3996.54         705.5956
3997.54         705.7242
3998.54         702.0276
3999.54         713.1442
4000.54         726.3633
4001.54         733.4334
4002.54         741.9424
4003.54         752.1851
4004.54         745.4744
4005.54         724.9507
4006.54         720.9697
4007.54          719.079
4008.54         714.2536
4009.54         733.3836
4010.54          766.644
4011.54          785.394
4012.54          796.497
4013.54         792.7867
4014.54         794.1367
4015.54         798.8105
4016.54         797.1202
4017.54         796.9899
4018.54         801.3785
4019.54         812.2401
4020.54         815.8425
4021.54         809.3959
4022.54         799.6752
4023.54         794.3529
4024.54         805.2234
4025.54          805.579
4026.54         789.3528
4027.54         786.8503
4028.54           789.51
4029.54         763.2864
4030.54         737.1793
4031.54         712.7853
4032.54         678.9924
4033.54         663.7982
4034.54         661.8098
4035.54         694.3899
4036.54          729.921
4037.54         750.4402
4038.54         773.7068
4039.54         790.1133
4040.54         799.7068
4041.54         803.9171
4042.54         790.8884
4043.54         766.9494
4044.54         737.3232
4045.54         710.8726
4046.54          700.502
4047.54         692.7502
4048.54         705.4714
4049.54         742.0717
4050.54         765.1771
4051.54          777.429
4052.54         802.8323
4053.54         808.3873
4054.54         790.9366
4055.54         765.9246
4056.54         743.3286
4057.54         723.1918
4058.54         706.5369
4059.54         714.5897
4060.54         712.7473
4061.54         701.8445
4062.54         683.9749
4063.54         683.7479
4064.54         687.2111
4065.54         670.5277
4066.54         675.1674
4067.54          687.743
4068.54         698.7925
4069.54         715.4767
4070.54         716.6079
4071.54         720.4476
4072.54         725.8716
4073.54         721.2316
4074.54         708.0414
4075.54         690.7951
4076.54         683.8127
4077.54         692.3855
4078.54         698.4871
4079.54         711.6519
4080.54         731.9731
4081.54         751.0179
4082.54         777.5209
4083.54         792.8133
4084.54          792.444
4085.54         809.5745
4086.54         821.7418
4087.54           831.85
4088.54         842.4709
4089.54         843.0346
4090.54         853.4205
4091.54         857.2523
4092.54         836.4352
4093.54          815.543
4094.54         796.4553
4095.54         776.3136
4096.54         763.1736
4097.54         747.0614
4098.54         715.8044
4099.54         693.9113
4100.54          685.687
4101.54         692.4407
4102.54          686.423
4103.54         690.0863
4104.54         707.6419
4105.54         721.5524
4106.54         741.9656
4107.54         758.7098
4108.54         771.7886
4109.54          771.157
4110.54         757.2845
4111.54         749.2004
4112.54         750.9333
4113.54         747.3719
4114.54          747.681
4115.54         740.7642
4116.54         744.5291
4117.54         757.7329
4118.54         758.6552
4119.54         745.1517
4120.54         739.1549
4121.54         734.9188
4122.54         726.1036
4123.54         729.7173
4124.54         733.5042
4125.54         734.1612
4126.54          733.181
4127.54         727.2961
4128.54         723.3088
4129.54         706.6968
4130.54         686.8892
4131.54         677.7341
4132.54          671.345
4133.54         660.4802
4134.54         669.0671
4135.54         700.9554
4136.54         713.9771
4137.54          720.304
4138.54         723.6083
4139.54         713.6106
4140.54          697.636
4141.54         680.0825
4142.54         666.4802
4143.54         650.5306
4144.54         637.1285
4145.54         626.5021
4146.54         625.5112
4147.54         628.8165
4148.54         635.7377
4149.54         633.7316
4150.54         625.7104
4151.54         615.9579
4152.54         617.8778
4153.54         627.4083
4154.54         623.6066
4155.54         615.9346
4156.54         617.1462
4157.54          630.743
4158.54         643.5017
4159.54         658.6552
4160.54         682.0021
4161.54         699.4348
4162.54         707.0221
4163.54         705.8483
4164.54         701.5829
4165.54         691.0954
4166.54         685.9064
4167.54         675.7286
4168.54         666.5309
4169.54         668.8735
4170.54          654.762
4171.54         647.8541
4172.54         658.4732
4173.54         652.8041
4174.54         647.7692
4175.54         651.8814
4176.54         652.7823
4177.54         653.1354
4178.54         653.3099
4179.54         648.8342
4180.54         639.8263
4181.54         668.6538
4182.54            691.6
4183.54         693.3307
4184.54         696.5826
4185.54          708.348
4186.54         718.1102
4187.54         728.5897
4188.54         729.2138
4189.54         722.4037
4190.54            734.2
4191.54         730.1532
4192.54         714.7406
4193.54         724.8163
4194.54         723.8757
4195.54         711.0821
4196.54         704.7397
4197.54         700.9303
4198.54         697.0924
4199.54         693.4113
4200.54          684.009
4201.54         680.0779
4202.54         693.9783
4203.54         708.4308
4204.54         729.6619
4205.54         753.9269
4206.54         765.1905
4207.54         777.1737
4208.54         774.1693
4209.54         766.8588
4210.54         763.5343
4211.54         764.3467
4212.54         762.6215
4213.54         757.9052
4214.54         760.3396
4215.54         762.0156
4216.54         763.1959
4217.54         791.1282
4218.54         822.9524
4219.54         821.7529
4220.54         831.2003
4221.54         834.0549
4222.54         808.4611
4223.54         771.8516
4224.54         737.9131
4225.54         705.0852
4226.54         674.8329
4227.54         661.1472
4228.54         663.3959
4229.54         691.4459
4230.54         735.2922
4231.54          773.144
4232.54         804.4264
4233.54         819.8354
4234.54         819.9695
4235.54         832.3665
4236.54         839.5483
4237.54         834.4373
4238.54         832.1013
4239.54         843.7544
4240.54         865.4016
4241.54         878.6699
4242.54         893.5186
4243.54         906.9166
4244.54         919.1176
4245.54         925.9695
4246.54         913.6497
4247.54         889.7299
4248.54         873.4262
4249.54         850.6763
4250.54         826.5721
4251.54         803.4083
4252.54         792.9376
4253.54         788.0352
4254.54         795.2913
4255.54          791.288
4256.54         794.8395
4257.54         816.7662
4258.54         822.8154
4259.54         820.2701
4260.54          820.796
4261.54         846.9802
4262.54         876.9342
4263.54         885.2456
4264.54         899.7363
4265.54         916.4918
4266.54         921.5443
4267.54         900.8226
4268.54         866.5883
4269.54         825.8631
4270.54         783.8431
4271.54         745.7728
4272.54          723.544
4273.54         724.2061
4274.54         724.3696
4275.54         740.3418
4276.54         768.4916
4277.54         800.8894
4278.54          838.741
4279.54         856.3928
4280.54         866.6116
4281.54         879.4772
4282.54         872.9389
4283.54         854.7751
4284.54         842.7169
4285.54         826.0369
4286.54         807.3085
4287.54         800.5927
4288.54         784.3304
4289.54         764.0854
4290.54         750.8851
4291.54         749.9528
4292.54         754.3807
4293.54         764.9039
4294.54         772.1992
4295.54         761.8719
4296.54         749.3436
4297.54         735.8997
4298.54         718.3721
4299.54         688.8047
4300.54         665.4207
4301.54         651.5581
4302.54         648.3221
4303.54         634.6607
4304.54         619.0511
4305.54         611.9489
4306.54         610.4291
4307.54          623.543
4308.54         634.2001
4309.54         641.6354
4310.54         675.4696
4311.54          719.282
4312.54         773.5347
4313.54         839.0527
4314.54         887.8058
4315.54         927.2911
4316.54         961.0311
4317.54          995.505
4318.54         1024.726
4319.54         1016.535
4320.54          983.994
4321.54          941.559
4322.54         911.5626
4323.54         893.9547
4324.54         865.0372
4325.54         851.9047
4326.54         866.0187
4327.54         895.1378
4328.54         932.0779
4329.54         972.3138
4330.54         1008.727
4331.54         1052.988
4332.54         1073.441
4333.54          1065.24
4334.54         1048.305
4335.54         1028.452
4336.54         1002.103
4337.54         976.1282
4338.54         945.8476
4339.54         908.3188
4340.54          887.234
4341.54         896.0175
4342.54         913.8632
4343.54         946.2119
4344.54         979.8539
4345.54          1010.09
4346.54         1022.057
4347.54         1027.623
4348.54         1052.211
4349.54         1054.052
4350.54         1040.888
4351.54         1037.587
4352.54         1024.655
4353.54          992.658
4354.54         988.8344
4355.54         1009.277
4356.54         1027.367
4357.54         1050.335
4358.54         1066.432
4359.54         1076.553
4360.54          1081.62
4361.54           1089.2
4362.54         1100.978
4363.54         1109.113
4364.54         1121.624
4365.54         1118.043
4366.54         1107.147
4367.54         1086.371
4368.54          1070.38
4369.54         1057.612
4370.54         1032.359
4371.54         1013.351
4372.54         1001.087
4373.54          990.077
4374.54         982.0554
4375.54         979.9209
4376.54          972.443
4377.54         958.1043
4378.54         947.5814
4379.54         931.1967
4380.54         911.3239
4381.54         885.8755
4382.54         847.5344
4383.54         812.4599
4384.54         799.3562
4385.54         792.8837
4386.54          807.963
4387.54         830.2557
4388.54         848.3431
4389.54         881.8505
4390.54         901.1363
4391.54         913.7333
4392.54         941.9286
4393.54         959.8913
4394.54         979.0599
4395.54         995.3021
4396.54         1002.843
4397.54         1014.346
4398.54         1017.647
4399.54         1005.815
4400.54         992.0903
4401.54         973.6751
4402.54         953.8924
4403.54         924.4399
4404.54         896.1775
4405.54         898.5287
4406.54         905.8023
4407.54         897.3768
4408.54         911.1281
4409.54         949.0566
4410.54         980.7156
4411.54         1014.562
4412.54         1034.302
4413.54         1029.887
4414.54         1032.493
4415.54         1042.374
4416.54         1035.948
4417.54          1029.52
4418.54         1047.825
4419.54         1060.654
4420.54          1065.37
4421.54         1062.733
4422.54         1058.596
4423.54          1047.31
4424.54         1040.915
4425.54         1043.447
4426.54         1047.386
4427.54         1048.242
4428.54         1047.497
4429.54         1045.854
4430.54         1044.338
4431.54         1034.518
4432.54         1028.893
4433.54         1019.542
4434.54         1012.873
